,NSRDB loc,OID_,case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
2092,443735,2092,400135,single,57338,NM,Dona Ana,31.80310059,-106.6699982,681807,20210222,4,Roadrunner Solar,2011,EPE,PV,thin-film,single-axis,180,20,,20.16,23.8,greenfield,non-agrivoltaic,-0.801538
2134,422738,2134,402177,single,61165,NM,Luna,31.86770058,-107.5889969,45064,20210115,4,Columbus Solar Project,2017,PNM,PV,c-si,single-axis,180,16,,1.9,2.3,greenfield,non-agrivoltaic,-0.427312
2101,451308,2101,400343,single,57986,NM,Otero,32.03590012,-106.336998,544545,20201215,4,"SunE EPE1, LLC",2012,EPE,PV,c-si,single-axis,180,,,10,11.3,greenfield,non-agrivoltaic,-1.12994
2098,532495,2098,400260,multi,57736,NM,Lea,32.12990189,-103.1380005,289614,20220418,4,SPS1 Dollarhide,2011,SWPP,PV,c-si,single-axis,181,0,,9.9,10.7,greenfield,non-agrivoltaic,-0.754247
2115,,2115,400209,single,57575,NM,Luna,32.16859818,-107.7559967,201597,20210306,4,Deming Solar Energy Center,2013,PNM,PV,thin-film,fixed-tilt,180,20,,9,11.2,greenfield,non-agrivoltaic,-0.322503
2116,,2116,400261,multi,57737,NM,Lea,32.18659973,-103.1839981,293016,20220208,4,SPS2 Jal,2011,SWPP,PV,c-si,single-axis,181,25,,9.9,10.8,greenfield,non-agrivoltaic,-0.756281
2100,438132,2100,400342,single,57985,NM,Dona Ana,32.2478981,-106.9110031,498054,20210821,4,"SunE EPE2, LLC",2012,EPE,PV,c-si,single-axis,180,,,12,13.6,greenfield,non-agrivoltaic,-0.977871
2114,504322,2114,400264,multi,57740,NM,Eddy,32.34400177,-104.2350006,286804,20220206,1,SPS5 Hopi,2011,SWPP,PV,c-si,single-axis,180,0,,9.9,10.9,greenfield,non-agrivoltaic,-0.729673
2126,,2126,400354,single,58010,NM,Dona Ana,32.39590073,-106.4759979,155303,20210825,4,WSMR I,2012,EPE,PV,c-si,"fixed-tilt,single-axis",180,20,,4.6,4.5,greenfield,non-agrivoltaic,-0.939144
2110,,2110,401595,multi,60258,NM,Luna,32.56980133,-107.4680023,662560,20200525,4,Alta Luna,2017,PNM,PV,c-si,single-axis,180,0,batteries,28.1,33.8,greenfield,non-agrivoltaic,-0.427875
2094,424521,2094,400838,multi,59010,NM,Luna,32.57120132,-107.4850006,1780533,20211019,4,Macho Springs,2014,EPE,PV,thin-film,single-axis,180,20,,52.2,64.6,greenfield,non-agrivoltaic,-0.769662
2091,429936,2091,400216,single,57591,NM,Dona Ana,32.62860107,-107.2600021,119289,20211011,4,"Hatch Solar Energy Center I, LLC",2011,EPE,PV,cpv,dual-axis,180,0,,5.04,5.6,greenfield,non-agrivoltaic,-0.522281
2099,528281,2099,400262,multi,57738,NM,Lea,32.68170166,-103.3010025,297623,20211224,4,SPS3 Lea,2011,SWPP,PV,c-si,single-axis,181,20,,10.08,10.6,greenfield,non-agrivoltaic,-0.785107
2127,407538,2127,400596,single,58540,NM,Grant,32.71300125,-108.2480011,17078,20220117,4,Silver City WWTP PV Project,2013,PNM,PV,c-si,fixed-tilt,180,0,,1,1.1,greenfield,non-agrivoltaic,-0.117102
2123,,2123,400211,single,57577,NM,Otero,32.86610031,-106,113817,20210817,4,Alamogordo Solar Energy Center,2011,PNM,PV,thin-film,fixed-tilt,180,26,,4.9,6.4,greenfield,non-agrivoltaic,-0.306862
2117,,2117,401617,single,60301,NM,Otero,32.92100143,-106.0739975,129140,20220302,4,Holloman Solar Facility,2018,EPE,PV,thin-film,single-axis,180,25,,5,6.5,greenfield,non-agrivoltaic,-0.44368
2087,459837,2087,400581,multi,58520,NM,Otero,32.97679901,-105.9720001,182224,20220302,4,Otero Solar,2013,PNM,PV,thin-film,fixed-tilt,180,0,,7.5,9.6,greenfield,non-agrivoltaic,-0.389176
2136,,2136,402530,single,61681,NM,Lea,32.97869873,-103.3710022,142418,20220408,4,Middle Daisy,2017,SWPP,PV,c-si,single-axis,180,0,,5,6.8,greenfield,non-agrivoltaic,-0.503676
2133,,2133,401225,single,59653,NM,Sierra,33.12039948,-107.2900009,40174,20200212,4,City of Truth or Consequences PV,2015,PNM,PV,c-si,single-axis,180,20,,1.9,2,greenfield,non-agrivoltaic,-0.456428
2128,,2128,400614,single,58576,NM,Chaves,33.16270065,-104.3850021,13256,20220313,4,GSE NM1,2011,SWPP,PV,c-si,fixed-tilt,180,26,,1.7,2.9,greenfield,non-agrivoltaic,3.46383
2148,496052,2148,400546,single,58479,NM,Chaves,33.34909821,-104.5390015,44730,20220313,4,SEV NM Phase 2,2013,SWPP,PV,c-si,fixed-tilt,180,26,,1.4,2.5,greenfield,non-agrivoltaic,-0.314743
2108,,2108,401682,multi,60406,NM,Chaves,33.44710159,-104.4580002,1911687,20220313,4,"Roswell Solar, LLC",2016,SWPP,PV,c-si,single-axis,180,25,,70,95.6,greenfield,non-agrivoltaic,-0.451214
2107,,2107,401681,multi,60405,NM,Chaves,33.44760132,-104.4440002,2022772,20220313,4,"Chaves Solar, LLC",2016,SWPP,PV,c-si,single-axis,180,0,,70,95.9,greenfield,non-agrivoltaic,-0.511485
2135,465549,2135,402519,multi,61662,NM,Lincoln,33.61190033,-105.7490005,73526,20200310,4,Carrizozo Solar,2018,PNM,PV,c-si,single-axis,180,20,,3,3.6,greenfield,non-agrivoltaic,-0.475478
2104,,2104,401566,multi,60198,NM,Valencia,34.63790131,-106.7020035,240758,20220131,4,Rio Communities Solar Energy Center,2015,PNM,PV,c-si,single-axis,180,20,,10,12.4,greenfield,non-agrivoltaic,-0.416513
2119,,2119,403084,multi,62597,NM,Valencia,34.69210052,-106.6869965,223254,20220308,4,Rio De Oro Solar Energy Center,2019,PNM,PV,c-si,single-axis,180,0,,10,12.5,greenfield,non-agrivoltaic,-0.312443
2118,,2118,403011,single,62467,NM,Valencia,34.74110031,-106.6569977,234691,20220308,4,Vista Solar Energy Center,2019,PNM,PV,c-si,single-axis,180,30,,10,12.8,greenfield,non-agrivoltaic,-0.346087
2102,,2102,400582,single,58521,NM,Valencia,34.74649811,-106.6539993,151657,20220308,4,Manzano Solar,2013,PNM,PV,thin-film,fixed-tilt,180,0,,8,10.1,greenfield,non-agrivoltaic,-0.0663591
2138,,2138,402876,single,62191,NM,Torrance,34.78089905,-106.0559998,49469,20191007,4,CNMEC Solar Energy Center,2018,PNM,PV,c-si,single-axis,180,0,,2,2.6,greenfield,non-agrivoltaic,-0.392058
2095,447439,2095,401201,single,59618,NM,Valencia,34.80970001,-106.5169983,304913,20220216,4,Meadow Lake Solar Energy Center,2015,PNM,PV,thin-film,single-axis,180,0,,9.12,11.4,greenfield,non-agrivoltaic,-0.743994
2090,,2090,400207,single,57571,NM,Valencia,34.83280182,-106.7720032,154117,20220308,4,Los Lunas Solar Energy Center,2013,PNM,PV,thin-film,fixed-tilt,180,0,,7,8.9,greenfield,non-agrivoltaic,-0.271652
2111,440846,2111,402441,single,61556,NM,Valencia,34.83359909,-106.7809982,234111,20220308,4,Facebook 1 Solar Energy Center,2017,PNM,PV,c-si,single-axis,180,0,,10,12.5,greenfield,non-agrivoltaic,-0.37268
