UTC DateTime,region,nuclear(GW),geothermal(GW),biomass(GW),coal(GW),wind(GW),solar(GW),hydro(GW),gas(GW),oil,unknown,hydro-discharge,battery_discharge,renewable_percentage,total_consumption(GW),breakdown estimated?,UTC time,UTC date,Carbon_Intensity(gCO2eq/kWh),intensity estimated?,nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,total_consumption,estimated,carbon_Intensity,estimated_C
7/14/2024 3:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,2.0,1321.0,1426.0,0,12,0,0,48.0,2761.0,False,3:00:00,7/14/2024,445.0,False,,,,,,,,,,,,
7/14/2024 4:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1287.0,1463.0,0,15,0,0,47.0,2765.0,False,4:00:00,7/14/2024,433.0,False,,,,,,,,,,,,
7/14/2024 5:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1304.0,1457.0,0,11,0,0,47.0,2772.0,False,5:00:00,7/14/2024,449.0,False,,,,,,,,,,,,
7/14/2024 6:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,1342.0,0,13,0,0,47.0,2571.0,False,6:00:00,7/14/2024,415.0,False,,,,,,,,,,,,
7/14/2024 7:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,1342.0,0,13,0,0,47.0,2571.0,True,7:00:00,7/14/2024,415.0,True,,,,,,,,,,,,
7/14/2024 8:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1206.0,1214.0,0,13,0,0,50.0,2433.0,True,8:00:00,7/14/2024,387.0,True,,,,,,,,,,,,
7/14/2024 9:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1078.0,1091.0,0,13,0,0,49.0,2181.0,True,9:00:00,7/14/2024,365.0,True,,,,,,,,,,,,
7/14/2024 10:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,1060.0,0,13,0,0,49.0,2096.0,True,10:00:00,7/14/2024,336.0,True,,,,,,,,,,,,
7/14/2024 11:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,1056.0,0,11,0,0,50.0,2122.0,True,11:00:00,7/14/2024,324.0,True,,,,,,,,,,,,
7/14/2024 12:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,987.0,1044.0,0,13,0,0,48.0,2044.0,True,12:00:00,7/14/2024,326.0,True,,,,,,,,,,,,
7/14/2024 13:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,12.0,968.0,986.0,0,12,0,0,50.0,1978.0,True,13:00:00,7/14/2024,260.0,True,,,,,,,,,,,,
7/14/2024 14:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,67.0,849.0,929.0,0,13,0,0,49.0,1858.0,True,14:00:00,7/14/2024,232.0,True,,,,,,,,,,,,
7/14/2024 15:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,142.0,728.0,918.0,0,11,0,0,48.0,1798.0,True,15:00:00,7/14/2024,228.0,True,,,,,,,,,,,,
7/14/2024 16:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,172.0,905.0,916.0,0,13,0,0,54.0,2005.0,True,16:00:00,7/14/2024,230.0,True,,,,,,,,,,,,
7/14/2024 17:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,205.0,931.0,917.0,0,11,0,0,55.0,2064.0,True,17:00:00,7/14/2024,234.0,True,,,,,,,,,,,,
7/14/2024 18:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,270.0,971.0,916.0,0,12,0,0,57.0,2170.0,True,18:00:00,7/14/2024,232.0,True,,,,,,,,,,,,
7/14/2024 19:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,279.0,982.0,957.0,0,11,0,0,57.0,2229.0,True,19:00:00,7/14/2024,226.0,True,,,,,,,,,,,,
7/14/2024 20:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,316.0,1048.0,1094.0,0,11,0,0,55.0,2470.0,True,20:00:00,7/14/2024,220.0,True,,,,,,,,,,,,
7/14/2024 21:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,301.0,1141.0,1083.0,0,12,0,0,57.0,2537.0,True,21:00:00,7/14/2024,231.0,True,,,,,,,,,,,,
7/14/2024 22:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,278.0,1250.0,1238.0,0,11,0,0,55.0,2777.0,True,22:00:00,7/14/2024,243.0,True,,,,,,,,,,,,
7/14/2024 23:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,251.0,1299.0,1282.0,0,12,0,0,54.0,2843.0,True,23:00:00,7/14/2024,266.0,True,,,,,,,,,,,,
7/15/2024 0:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,222.0,1440.0,1402.0,0,12,0,0,54.0,3076.0,True,0:00:00,7/15/2024,333.0,True,,,,,,,,,,,,
7/15/2024 1:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,144.0,1579.0,1562.0,0,11,0,0,52.0,3296.0,True,1:00:00,7/15/2024,402.0,True,,,,,,,,,,,,
7/15/2024 2:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,37.0,1363.0,1430.0,0,11,0,0,49.0,2841.0,False,2:00:00,7/15/2024,422.0,False,,,,,,,,,,,,
7/15/2024 2:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,45.0,1622.0,1683.0,0,12,0,0,50.0,3362.0,True,2:00:00,7/15/2024,475.0,True,,,,,,,,,,,,
7/15/2024 3:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,1.0,1322.0,1453.0,0,13,0,0,47.0,2789.0,False,3:00:00,7/15/2024,408.0,False,,,,,,,,,,,,
7/15/2024 4:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1241.0,1438.0,0,13,0,0,46.0,2692.0,False,4:00:00,7/15/2024,420.0,False,,,,,,,,,,,,
7/15/2024 5:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1237.0,1231.0,0,12,0,0,50.0,2480.0,False,5:00:00,7/15/2024,459.0,False,,,,,,,,,,,,
7/15/2024 6:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,1137.0,0,13,0,0,51.0,2362.0,False,6:00:00,7/15/2024,489.0,False,,,,,,,,,,,,
7/15/2024 19:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,322.0,815.0,897.0,0,15,0,0,55.0,2049.0,False,19:00:00,7/15/2024,247.0,False,,,,,,,,,,,,
7/15/2024 20:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,327.0,850.0,1015.0,0,12,0,0,53.0,2204.0,False,20:00:00,7/15/2024,249.0,False,,,,,,,,,,,,
7/15/2024 21:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,323.0,994.0,1148.0,0,13,0,0,53.0,2478.0,False,21:00:00,7/15/2024,253.0,False,,,,,,,,,,,,
7/15/2024 22:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,303.0,1166.0,1068.0,0,11,0,0,58.0,2548.0,False,22:00:00,7/15/2024,300.0,False,,,,,,,,,,,,
7/15/2024 23:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,269.0,1198.0,1113.0,0,15,0,0,57.0,2595.0,False,23:00:00,7/15/2024,312.0,False,,,,,,,,,,,,
7/16/2024 0:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,215.0,1253.0,1164.0,0,10,0,0,56.0,2642.0,False,0:00:00,7/16/2024,322.0,False,,,,,,,,,,,,
7/16/2024 1:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,140.0,1433.0,1086.0,0,14,0,0,59.0,2673.0,False,1:00:00,7/16/2024,350.0,False,,,,,,,,,,,,
7/16/2024 2:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,40.0,1403.0,1190.0,0,13,0,0,55.0,2646.0,False,2:00:00,7/16/2024,352.0,False,,,,,,,,,,,,
7/16/2024 3:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1419.0,1206.0,0,12,0,0,54.0,2637.0,False,3:00:00,7/16/2024,337.0,False,,,,,,,,,,,,
7/16/2024 4:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1205.0,0,12,0,0,53.0,2597.0,False,4:00:00,7/16/2024,340.0,False,,,,,,,,,,,,
7/16/2024 5:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1159.0,0,15,0,0,53.0,2474.0,False,5:00:00,7/16/2024,387.0,False,,,,,,,,,,,,
7/16/2024 6:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,1117.0,0,12,0,0,52.0,2362.0,False,6:00:00,7/16/2024,333.0,False,,,,,,,,,,,,
7/16/2024 7:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,1117.0,0,12,0,0,52.0,2362.0,True,7:00:00,7/16/2024,333.0,True,,,,,,,,,,,,
7/16/2024 8:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1145.0,1048.0,0,12,0,0,52.0,2205.0,True,8:00:00,7/16/2024,310.0,True,,,,,,,,,,,,
7/16/2024 9:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,991.0,0,13,0,0,50.0,2006.0,True,9:00:00,7/16/2024,327.0,True,,,,,,,,,,,,
