UTC DateTime,region,nuclear(GW),geothermal(GW),biomass(GW),coal(GW),wind(GW),solar(GW),hydro(GW),gas(GW),oil,unknown,hydro-discharge,battery_discharge,renewable_percentage,total_consumption(GW),breakdown estimated?,UTC time,UTC date,Carbon_Intensity(gCO2eq/kWh),intensity estimated?
7/14/2024 3:00,US-CAL-BANC,0,0,0,0,0,2,1321,1426,0,12,0,0,48,2761,FALSE,3:00:00,7/14/2024,445,FALSE
7/14/2024 4:00,US-CAL-BANC,0,0,0,0,0,0,1287,1463,0,15,0,0,47,2765,FALSE,4:00:00,7/14/2024,433,FALSE
7/14/2024 5:00,US-CAL-BANC,0,0,0,0,0,0,1304,1457,0,11,0,0,47,2772,FALSE,5:00:00,7/14/2024,449,FALSE
7/14/2024 6:00,US-CAL-BANC,0,0,0,0,0,0,1216,1342,0,13,0,0,47,2571,FALSE,6:00:00,7/14/2024,415,FALSE
7/14/2024 7:00,US-CAL-BANC,0,0,0,0,0,0,1216,1342,0,13,0,0,47,2571,TRUE,7:00:00,7/14/2024,415,TRUE
7/14/2024 8:00,US-CAL-BANC,0,0,0,0,0,0,1206,1214,0,13,0,0,50,2433,TRUE,8:00:00,7/14/2024,387,TRUE
7/14/2024 9:00,US-CAL-BANC,0,0,0,0,0,0,1078,1091,0,13,0,0,49,2181,TRUE,9:00:00,7/14/2024,365,TRUE
7/14/2024 10:00,US-CAL-BANC,0,0,0,0,0,0,1023,1060,0,13,0,0,49,2096,TRUE,10:00:00,7/14/2024,336,TRUE
7/14/2024 11:00,US-CAL-BANC,0,0,0,0,0,0,1054,1056,0,11,0,0,50,2122,TRUE,11:00:00,7/14/2024,324,TRUE
7/14/2024 12:00,US-CAL-BANC,0,0,0,0,0,0,987,1044,0,13,0,0,48,2044,TRUE,12:00:00,7/14/2024,326,TRUE
7/14/2024 13:00,US-CAL-BANC,0,0,0,0,0,12,968,986,0,12,0,0,50,1978,TRUE,13:00:00,7/14/2024,260,TRUE
7/14/2024 14:00,US-CAL-BANC,0,0,0,0,0,67,849,929,0,13,0,0,49,1858,TRUE,14:00:00,7/14/2024,232,TRUE
7/14/2024 15:00,US-CAL-BANC,0,0,0,0,0,142,728,918,0,11,0,0,48,1798,TRUE,15:00:00,7/14/2024,228,TRUE
7/14/2024 16:00,US-CAL-BANC,0,0,0,0,0,172,905,916,0,13,0,0,54,2005,TRUE,16:00:00,7/14/2024,230,TRUE
7/14/2024 17:00,US-CAL-BANC,0,0,0,0,0,205,931,917,0,11,0,0,55,2064,TRUE,17:00:00,7/14/2024,234,TRUE
7/14/2024 18:00,US-CAL-BANC,0,0,0,0,0,270,971,916,0,12,0,0,57,2170,TRUE,18:00:00,7/14/2024,232,TRUE
7/14/2024 19:00,US-CAL-BANC,0,0,0,0,0,279,982,957,0,11,0,0,57,2229,TRUE,19:00:00,7/14/2024,226,TRUE
7/14/2024 20:00,US-CAL-BANC,0,0,0,0,0,316,1048,1094,0,11,0,0,55,2470,TRUE,20:00:00,7/14/2024,220,TRUE
7/14/2024 21:00,US-CAL-BANC,0,0,0,0,0,301,1141,1083,0,12,0,0,57,2537,TRUE,21:00:00,7/14/2024,231,TRUE
7/14/2024 22:00,US-CAL-BANC,0,0,0,0,0,278,1250,1238,0,11,0,0,55,2777,TRUE,22:00:00,7/14/2024,243,TRUE
7/14/2024 23:00,US-CAL-BANC,0,0,0,0,0,251,1299,1282,0,12,0,0,54,2843,TRUE,23:00:00,7/14/2024,266,TRUE
7/15/2024 0:00,US-CAL-BANC,0,0,0,0,0,222,1440,1402,0,12,0,0,54,3076,TRUE,0:00:00,7/15/2024,333,TRUE
7/15/2024 1:00,US-CAL-BANC,0,0,0,0,0,144,1579,1562,0,11,0,0,52,3296,TRUE,1:00:00,7/15/2024,402,TRUE
7/15/2024 2:00,US-CAL-BANC,0,0,0,0,0,37,1363,1430,0,11,0,0,49,2841,FALSE,2:00:00,7/15/2024,422,FALSE
7/15/2024 2:00,US-CAL-BANC,0,0,0,0,0,45,1622,1683,0,12,0,0,50,3362,TRUE,2:00:00,7/15/2024,475,TRUE
