State,Number of Installations,AC Capacity (MW)
AL,8,455.1
SOCO,4,127.2
TVA,4,327.9
AR,12,218.5
MISO,5,184
SPA,2,17.5
SWPP,5,17
AZ,67,2402.14
AZPS,23,440.76
CISO,6,1022.8
SRP,7,354
TEPC,25,441.88
WALC,6,142.7
CA,475,13100
BANC,24,119.08
CISO,408,11905.21
IID,24,385.61
LDWP,16,683.7
PACW,3,6.4
CO,96,1010.73
PSCO,72,838.63
SWPP,1,9
WACM,23,163.1
CT,39,215.7
ISNE,39,215.7
DC,2,7.4
PJM,2,7.4
DE,11,37.7
PJM,11,37.7
FL,84,4487.56
FMPP,6,166.9
FPC,13,506.06
FPL,39,2791.5
GVL,1,1.6
JEA,5,33.9
SOCO,5,269
TAL,2,62
TEC,13,656.6
GA,88,2830.56
SEPA,3,22
SOCO,85,2808.56
HI,23,276.01
HECO,9,172.05
(blank),14,103.96
IA,9,117.2
MISO,9,117.2
ID,9,242
IPCO,9,242
IL,80,584.85
MISO,41,484.7
PJM,39,100.15
IN,70,551.27
MISO,55,271.91
PJM,15,279.36
KS,6,30.2
SWPP,6,30.2
KY,4,23.2
LGEE,1,10
PJM,3,13.2
LA,2,70
MISO,2,70
MA,382,1051.26
ISNE,382,1051.26
MD,67,330.2
PJM,67,330.2
ME,10,183.8
ISNE,10,183.8
MI,27,159.63
MISO,26,155.03
PJM,1,4.6
MN,390,1059.88
MISO,389,1056.58
PJM,1,3.3
MO,19,73.32
AECI,1,2.5
MISO,3,17
SWPP,15,53.82
MS,6,166.7
SOCO,4,158.6
TVA,2,8.1
MT,6,17
NWMT,6,17
NC,651,5487.51
CPLE,291,1618.44
CPLW,5,21.4
DUK,249,2216.84
PJM,105,1627.43
SEPA,1,3.4
NE,8,27.66
SWPP,8,27.66
NH,1,2.4
ISNE,1,2.4
NJ,148,731.7
PJM,148,731.7
NM,64,698.12
EPE,7,109
PNM,46,345.6
SWPP,10,212.88
WACM,1,30.64
NV,40,2892.63
CISO,6,655.6
LDWP,1,255
NEVP,32,1822.03
WALC,1,160
NY,232,747.9
ISNE,11,33.2
NYIS,221,714.7
OH,30,460.78
PJM,30,460.78
OK,10,45.5
SWPP,10,45.5
OR,100,597.7
AVRN,1,10
BPAT,8,74.2
IPCO,11,76.3
PACW,26,289.5
PGE,54,147.7
PA,29,139.4
PJM,29,139.4
RI,37,151.98
ISNE,37,151.98
SC,86,1108.59
CPLE,22,72.92
DUK,19,42.5
SC,6,96.8
SCEG,39,896.37
SD,1,1
SPP,1,1
TN,15,178.18
TVA,15,178.18
TX,97,8217.33
EPE,3,15.42
ERCO,94,8201.91
UT,33,1244.08
PACE,32,1242.78
WACM,1,1.3
VA,51,2015.7
PJM,51,2015.7
VT,43,124.79
ISNE,43,124.79
WA,2,22.4
AVA,1,19.2
BPAT,1,3.2
WI,28,478.6
MISO,28,478.6
WY,1,80
PACE,1,80
Grand Total,3699,55155.86
